TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
assessEvosuite.EvoTrial,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,76,76
assessEvosuite.EvoTrial,BRANCH;LINE,1.0,16,16
assessEvosuite.EvoTrial,BRANCH;LINE,1.0,16,16
assessEvosuite.EvoTrial,BRANCH;LINE,1.0,16,16
assessEvosuite.FlagProblem,BRANCH;LINE,1.0,16,16
assessEvosuite.FlagProblem,BRANCH;LINE,1.0,16,16
assessEvosuite.FlagProblem,BRANCH;LINE,1.0,16,16
assessEvosuite.FlagProblem,BRANCH;LINE,1.0,13,13
assessEvosuite.FlagProblem,BRANCH;LINE,1.0,15,15
assessEvosuite.FlagChecker,BRANCH;LINE,1.0,9,9
assessEvosuite.FlagChecker,BRANCH;LINE,1.0,9,9
assessEvosuite.FlagChecker,BRANCH;LINE,1.0,9,9
assessEvosuite.FlagChecker,BRANCH;LINE,1.0,9,9
assessEvosuite.FlagChecker,BRANCH;LINE,0.775,9,7
assessEvosuite.FlagChecker,BRANCH;LINE,0.8035714285714286,11,9
assessEvosuite.FlagChecker,BRANCH;LINE,0.675,13,9
assessEvosuite.FlagChecker,BRANCH;LINE,0.675,13,9
assessEvosuite.FlagChecker,BRANCH;LINE,0.975,42,41
assessEvosuite.FlagChecker,BRANCH;LINE,0.9852941176470589,76,75
assessEvosuite.FlagChecker,BRANCH;LINE,0.6796987087517934,75,51
